file,line,column,type,code,message,docs,severity,link
includes/class-ai-readability-settings.php,225,29,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-settings.php&line=225
includes/class-ai-readability-gutenberg.php,255,43,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=255
includes/class-ai-readability-gutenberg.php,295,9,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=295
includes/class-ai-readability-gutenberg.php,380,20,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=380
includes/class-ai-readability-gutenberg.php,380,20,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=380
includes/class-ai-readability-gutenberg.php,380,27,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_name used in $wpdb-&gt;get_results()\n$table_name assigned unsafely at line 378.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=380
includes/class-ai-readability-gutenberg.php,384,1,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_name at              FROM $table_name \n",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Fincludes%2Fclass-ai-readability-gutenberg.php&line=384
templates/dashboard.php,7,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$table_name&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=7
templates/dashboard.php,8,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$period&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=8
templates/dashboard.php,8,18,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=8
templates/dashboard.php,8,46,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=8
templates/dashboard.php,9,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$date_limit&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=9
templates/dashboard.php,11,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$averages&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=11
templates/dashboard.php,11,13,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=11
templates/dashboard.php,11,13,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=11
templates/dashboard.php,19,1,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$table_name} at         FROM {$table_name} \n",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=19
templates/dashboard.php,26,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$analysis_data&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=26
templates/dashboard.php,26,18,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=26
templates/dashboard.php,26,18,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=26
templates/dashboard.php,29,1,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$table_name} at         FROM {$table_name} h \n",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=29
templates/dashboard.php,39,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$overall_score&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=39
templates/dashboard.php,41,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$digital_authority&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=41
templates/dashboard.php,42,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$conversion_readiness&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=42
templates/dashboard.php,43,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$total_analyzed&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=43
templates/dashboard.php,147,29,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to esc_html__() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=147
templates/dashboard.php,148,29,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$period'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=148
templates/dashboard.php,216,25,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$count&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=216
templates/dashboard.php,217,53,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$item&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=217
templates/dashboard.php,220,29,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$avg_score&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdashboard.php&line=220
templates/documentation.php,6,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$current_section&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=6
templates/documentation.php,6,27,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=6
templates/documentation.php,6,81,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=6
templates/documentation.php,8,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$sections&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=8
templates/documentation.php,37,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$key&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=37
templates/documentation.php,37,50,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$label&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=37
templates/documentation.php,56,55,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=56
templates/documentation.php,64,55,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to __() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fdocumentation.php&line=64
templates/score-history.php,7,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$table_name&quot;.",,6,https://playground.wordpress.net/scope:confident-vintage-city/wp-admin/plugin-editor.php?plugin=ai-readability-optimizer%2Fai-readability-optimizer.php&file=ai-readability-optimizer%2Ftemplates%2Fscore-history.php&line=7
